image_name,centers_of_detected_circles,sensitivity,num_centers,x_displacement,y_displacement
Img_093_20200901_120100.jpg,"[[ 825.38333333  594.56111111   79.37253933]
 [ 820.30635838  396.97109827   79.37253933]
 [1023.71698113  592.95597484   79.37253933]
 [1020.80794702  395.01324503   79.37253933]]",0.97,4,-0.5777578585704575,-0.8945107493198101
Img_093_20200901_130100.jpg,"[[1021.5         396.3375       79.37253933]
 [1024.63694268  594.62420382   79.37253933]
 [ 825.70114943  596.53448276   79.37253933]
 [ 820.63414634  398.32317073   79.37253933]]",0.97,4,-0.3089092525671209,-0.7091926947494684
Img_093_20200901_140100.jpg,"[[ 822.13095238  399.98214286   79.37253933]
 [1026.12582781  596.99337748   79.37253933]
 [ 826.73469388  598.04761905   79.37253933]
 [1023.48051948  397.94155844   79.37253933]]",0.97,4,-0.12104027518308058,-0.49070145088541217
Img_093_20200901_150100.jpg,"[[1026.96710526  598.03289474   79.37253933]
 [ 822.45783133  400.90361446   79.37253933]
 [1023.93959732  398.9261745    79.37253933]
 [ 826.85714286  599.82608696   79.37253933]]",0.97,4,-0.1895655444573876,-0.13767000293718112
Img_093_20200901_160100.jpg,"[[1024.45454545  399.96103896   79.37253933]
 [ 822.51807229  402.04819277   79.37253933]
 [1027.41176471  599.09803922   79.37253933]
 [ 827.84137931  601.06896552   79.37253933]]",0.97,4,-0.2028313322563413,-0.19801123845250856
Img_093_20200901_170100.jpg,"[[ 822.08695652  402.06832298   79.37253933]
 [1024.          400.           79.37253933]
 [ 826.72666667  600.82         79.37253933]
 [1027.01948052  599.43506494   79.37253933]]",0.97,4,-0.07574228387932003,-0.20132536696654313
Img_093_20200901_180100.jpg,"[[ 821.84827586  402.25517241   79.37253933]
 [1023.66233766  399.88311688   79.37253933]
 [1026.81118881  599.71328671   79.37253933]
 [ 826.05194805  601.0974026    79.37253933]]",0.97,4,-0.32225555672649087,-0.17192970855892575
Img_093_20200901_190100.jpg,"[[ 820.7607362   402.33128834   79.37253933]
 [1026.3030303   599.63636364   79.37253933]
 [1022.94078947  399.78947368   79.37253933]
 [ 825.76373626  600.42857143   79.37253933]]",0.97,4,-0.32621973887258626,0.005757924537206804
Img_093_20200901_200100.jpg,"[[1022.62209302  400.11046512   79.37253933]
 [1027.69603524  599.66519824   79.37253933]
 [ 825.89371981  599.63768116   79.37253933]
 [ 820.62874251  402.23353293   79.37253933]]",0.97,4,-0.16753772509667897,-0.21949736736417158
Img_093_20200901_210100.jpg,"[[ 820.7183908   402.21264368   79.37253933]
 [1022.20555556  400.16111111   79.37253933]
 [1026.76886792  599.50943396   79.37253933]
 [ 825.41803279  600.67622951   79.37253933]]",0.97,4,-0.4233882786939578,-0.18211296774063257
Img_093_20200901_220100.jpg,"[[ 820.76470588  401.04278075   79.37253933]
 [1026.04615385  598.60512821   79.37253933]
 [1021.30150754  399.29145729   79.37253933]
 [ 826.35227273  600.02651515   79.37253933]]",0.97,4,-0.3661772964545218,-0.09406582188459112
Img_093_20200901_230100.jpg,"[[1024.1509434   596.62264151   79.37253933]
 [1021.02285714  398.54285714   79.37253933]
 [ 824.57317073  598.99390244   79.37253933]
 [ 819.93975904  400.4939759    79.37253933]]",0.97,4,-0.3918831358340569,-0.43359947511995856
Img_093_20200902_000100.jpg,"[[1022.85714286  596.03846154   79.37253933]
 [ 823.41293532  597.27860697   79.37253933]
 [1018.76086957  397.93478261   79.37253933]
 [ 819.53672316  399.85875706   79.37253933]]",0.97,4,-0.6750181945105744,-0.33435854669073173
Img_093_20200902_010100.jpg,"[[ 823.10695187  596.04812834   79.37253933]
 [1021.89830508  594.53672316   79.37253933]
 [1019.25308642  396.62345679   79.37253933]
 [ 818.79754601  398.30674847   79.37253933]]",0.97,4,-0.7238351731662114,-0.5080696728041918
Img_093_20200902_020100.jpg,"[[ 821.80898876  594.89325843   79.37253933]
 [1021.41401274  593.3566879    79.37253933]
 [1018.51592357  395.63694268   79.37253933]
 [ 818.34730539  397.97005988   79.37253933]]",0.97,4,-0.8168151833899149,-0.6206653057162903
Img_093_20200902_030100.jpg,"[[ 822.5         593.83157895   79.37253933]
 [ 818.20496894  397.27329193   79.37253933]
 [1020.86394558  592.02040816   79.37253933]
 [1017.84210526  394.75         79.37253933]]",0.97,4,-0.9115591307345614,-0.9379735403238243
