0,1,2
Img_047_20200626_230100.jpg,"[[765.52747253 635.72527473  79.37253933]
 [965.38947368 826.12631579  79.37253933]
 [771.80821918 832.          79.37253933]
 [961.66666667 630.56140351  79.37253933]]",0.98
Img_047_20200627_000100.jpg,"[[965.20535714 826.02678571  79.37253933]
 [765.12871287 635.53465347  79.37253933]
 [771.3372093  832.22093023  79.37253933]
 [961.15492958 630.29577465  79.37253933]]",0.98
Img_047_20200627_010100.jpg,"[[765.         635.5         79.37253933]
 [965.15238095 826.          79.37253933]
 [771.5        831.82926829  79.37253933]
 [961.53731343 630.05970149  79.37253933]]",0.98
Img_047_20200627_030100.jpg,"[[965.03636364 826.04545455  79.37253933]
 [765.         635.5         79.37253933]
 [771.4742268  832.05154639  79.37253933]
 [961.         630.80821918  79.37253933]]",0.98
Img_047_20200627_040100.jpg,"[[765.08737864 635.26213592  79.37253933]
 [965.21008403 826.34453782  79.37253933]
 [771.45360825 831.8556701   79.37253933]
 [960.94594595 630.05405405  79.37253933]]",0.98
Img_047_20200627_050100.jpg,"[[764.65789474 635.64912281  79.37253933]
 [964.71900826 825.97520661  79.37253933]
 [770.56989247 831.76344086  79.37253933]
 [960.97916667 629.71875     79.37253933]]",0.98
Img_047_20200627_060100.jpg,"[[771.55045872 831.90825688  79.37253933]
 [765.04716981 635.06603774  79.37253933]
 [965.62184874 825.76470588  79.37253933]
 [961.48863636 629.67045455  79.37253933]]",0.98
Img_047_20200627_070100.jpg,"[[960.81372549 630.8627451   79.37253933]
 [764.95049505 635.52475248  79.37253933]
 [771.14545455 832.41818182  79.37253933]
 [965.11764706 826.11764706  79.37253933]]",0.98
Img_047_20200627_080100.jpg,"[[770.86538462 832.13461538  79.37253933]
 [764.28318584 635.07964602  79.37253933]
 [960.47747748 630.74774775  79.37253933]
 [964.76699029 826.          79.37253933]]",0.98
Img_047_20200627_090100.jpg,"[[770.5        832.          79.37253933]
 [960.1443299  630.45360825  79.37253933]
 [964.75728155 826.05825243  79.37253933]
 [764.51612903 635.05376344  79.37253933]]",0.98
Img_047_20200627_100100.jpg,"[[770.95098039 832.02941176  79.37253933]
 [965.42045455 826.31818182  79.37253933]
 [960.64044944 630.43820225  79.37253933]
 [764.5952381  635.08333333  79.37253933]]",0.98
Img_047_20200627_110100.jpg,"[[771.69       831.95        79.37253933]
 [765.13       635.18        79.37253933]
 [965.6        826.33333333  79.37253933]
 [961.5        630.39534884  79.37253933]]",0.98
Img_047_20200627_120100.jpg,"[[771.73737374 832.09090909  79.37253933]
 [765.05154639 635.4742268   79.37253933]
 [961.41111111 630.58888889  79.37253933]
 [965.75257732 826.43298969  79.37253933]]",0.98
Img_047_20200627_130100.jpg,"[[771.94174757 832.24271845  79.37253933]
 [765.53846154 635.37362637  79.37253933]
 [965.61052632 826.12631579  79.37253933]
 [961.89583333 630.5         79.37253933]]",0.98
Img_047_20200627_140100.jpg,"[[772.00970874 832.16504854  79.37253933]
 [962.         630.5         79.37253933]
 [966.45360825 826.1443299   79.37253933]
 [765.89361702 635.40425532  79.37253933]]",0.98
Img_047_20200627_150100.jpg,"[[774.42857143 831.90816327  79.37253933]
 [964.41111111 630.41111111  79.37253933]
 [968.57291667 825.91666667  79.37253933]
 [768.20879121 635.37362637  79.37253933]]",0.98
Img_047_20200627_160100.jpg,"[[780.30927835 832.03092784  79.37253933]
 [969.91089109 630.06930693  79.37253933]
 [773.66666667 635.1010101   79.37253933]
 [974.26086957 825.93478261  79.37253933]]",0.98
Img_047_20200627_180100.jpg,"[[980.76699029 630.          79.37253933]
 [791.         831.90654206  79.37253933]
 [984.86021505 825.75268817  79.37253933]
 [785.         634.73404255  79.37253933]]",0.98
